yearID,W,L,R,H,2B,3B,HR,name
2003,85,77,876,1580,342,32,196,St. Louis Cardinals
2003,63,99,715,1501,298,38,137,Tampa Bay Devil Rays
2003,71,91,826,1506,274,36,239,Texas Rangers
2003,86,76,894,1580,357,33,190,Toronto Blue Jays
2004,92,70,836,1603,272,37,162,Anaheim Angels
2004,51,111,615,1401,295,38,135,Arizona Diamondbacks
2004,96,66,803,1503,304,37,178,Atlanta Braves
2004,78,84,842,1614,319,18,169,Baltimore Orioles
2004,98,64,949,1613,373,25,222,Boston Red Sox
2004,83,79,865,1481,284,19,242,Chicago White Sox
2004,89,73,789,1508,308,29,235,Chicago Cubs
2004,76,86,750,1380,287,28,194,Cincinnati Reds
2004,80,82,858,1565,345,29,184,Cleveland Indians
2004,68,94,833,1531,331,34,202,Colorado Rockies
2004,72,90,827,1531,284,54,201,Detroit Tigers
2004,83,79,718,1447,275,32,148,Florida Marlins
2004,92,70,803,1458,294,36,187,Houston Astros
2004,58,104,720,1432,261,29,150,Kansas City Royals
2004,93,69,761,1450,226,30,203,Los Angeles Dodgers
2004,67,94,634,1358,295,32,135,Milwaukee Brewers
2004,92,70,780,1494,310,24,191,Minnesota Twins
2004,67,95,635,1361,276,27,151,Montreal Expos
2004,101,61,897,1483,281,20,242,New York Yankees
2004,71,91,684,1376,289,20,185,New York Mets
2004,91,71,793,1545,336,15,189,Oakland Athletics
2004,86,76,840,1505,303,23,215,Philadelphia Phillies
2004,72,89,680,1428,267,39,142,Pittsburgh Pirates
2004,87,75,768,1521,304,32,139,San Diego Padres
2004,63,99,698,1544,276,20,136,Seattle Mariners
2004,91,71,850,1500,314,33,183,San Francisco Giants
2004,105,57,855,1544,319,24,214,St. Louis Cardinals
2004,70,91,714,1416,278,46,145,Tampa Bay Devil Rays
2004,89,73,860,1492,323,34,227,Texas Rangers
2004,67,94,719,1438,290,34,145,Toronto Blue Jays
2005,77,85,696,1419,291,27,191,Arizona Diamondbacks
2005,90,72,769,1453,308,37,184,Atlanta Braves
2005,74,88,729,1492,296,27,189,Baltimore Orioles
2005,95,67,910,1579,339,21,199,Boston Red Sox
2005,99,63,741,1450,253,23,200,Chicago White Sox
2005,79,83,703,1506,323,23,194,Chicago Cubs
2005,73,89,820,1453,335,15,222,Cincinnati Reds
2005,93,69,790,1522,337,30,207,Cleveland Indians
2005,67,95,740,1477,280,34,150,Colorado Rockies
2005,71,91,723,1521,283,45,168,Detroit Tigers
2005,83,79,717,1499,306,32,128,Florida Marlins
2005,89,73,693,1400,281,32,161,Houston Astros
2005,56,106,701,1445,289,34,126,Kansas City Royals
2005,95,67,761,1520,278,30,147,Los Angeles Angels of Anaheim
2005,71,91,685,1374,284,21,149,Los Angeles Dodgers
2005,81,81,726,1413,327,19,175,Milwaukee Brewers
2005,83,79,688,1441,269,32,134,Minnesota Twins
2005,95,67,886,1552,259,16,229,New York Yankees
2005,83,79,722,1421,279,32,175,New York Mets
2005,88,74,772,1476,310,20,155,Oakland Athletics
2005,88,74,807,1494,282,35,167,Philadelphia Phillies
2005,67,95,680,1445,292,38,139,Pittsburgh Pirates
2005,82,80,684,1416,269,39,130,San Diego Padres
2005,69,93,699,1408,289,34,130,Seattle Mariners
2005,75,87,649,1427,299,26,128,San Francisco Giants
2005,100,62,805,1494,287,26,170,St. Louis Cardinals
2005,67,95,750,1519,289,40,157,Tampa Bay Devil Rays
2005,79,83,865,1528,311,29,260,Texas Rangers
2005,80,82,775,1480,307,39,136,Toronto Blue Jays
2005,81,81,639,1367,311,32,117,Washington Nationals
2006,76,86,773,1506,331,38,160,Arizona Diamondbacks
2006,79,83,849,1510,312,26,222,Atlanta Braves
2006,70,92,768,1556,288,20,164,Baltimore Orioles
2006,86,76,820,1510,327,16,192,Boston Red Sox
2006,90,72,868,1586,291,20,236,Chicago White Sox
2006,66,96,716,1496,271,46,166,Chicago Cubs
2006,80,82,749,1419,291,12,217,Cincinnati Reds
2006,78,84,870,1576,351,27,196,Cleveland Indians
2006,76,86,813,1504,325,54,157,Colorado Rockies
2006,95,67,822,1548,294,40,203,Detroit Tigers
2006,78,84,758,1454,309,42,182,Florida Marlins
2006,82,80,735,1407,275,27,174,Houston Astros
2006,62,100,757,1515,335,37,124,Kansas City Royals
2006,89,73,766,1539,309,29,159,Los Angeles Angels of Anaheim
2006,88,74,820,1552,307,58,153,Los Angeles Dodgers
2006,75,87,730,1400,301,20,180,Milwaukee Brewers
2006,96,66,801,1608,275,34,143,Minnesota Twins
2006,97,65,930,1608,327,21,210,New York Yankees
2006,97,65,834,1469,323,41,200,New York Mets
2006,93,69,771,1429,266,22,175,Oakland Athletics
2006,85,77,865,1518,294,41,216,Philadelphia Phillies
2006,67,95,691,1462,286,17,141,Pittsburgh Pirates
2006,88,74,731,1465,298,38,161,San Diego Padres
2006,78,84,756,1540,266,42,172,Seattle Mariners
2006,76,85,746,1418,297,52,163,San Francisco Giants
2006,83,78,781,1484,292,27,184,St. Louis Cardinals
2006,61,101,689,1395,267,33,190,Tampa Bay Devil Rays
2006,80,82,835,1571,357,23,183,Texas Rangers
2006,87,75,809,1591,348,27,199,Toronto Blue Jays
2006,71,91,746,1437,322,22,164,Washington Nationals
2007,90,72,712,1350,286,40,171,Arizona Diamondbacks
2007,84,78,810,1562,328,27,176,Atlanta Braves
2007,69,93,756,1529,306,30,142,Baltimore Orioles
2007,96,66,867,1561,352,35,166,Boston Red Sox
2007,72,90,693,1341,249,20,190,Chicago White Sox
2007,85,77,752,1530,340,28,151,Chicago Cubs
2007,72,90,783,1496,293,23,204,Cincinnati Reds
2007,96,66,811,1504,305,27,178,Cleveland Indians
2007,90,73,860,1591,313,36,171,Colorado Rockies
2007,88,74,887,1652,352,50,177,Detroit Tigers
2007,71,91,790,1504,340,38,201,Florida Marlins
2007,73,89,723,1457,293,30,167,Houston Astros
2007,69,93,706,1447,300,46,102,Kansas City Royals
2007,94,68,822,1578,324,23,123,Los Angeles Angels of Anaheim
2007,82,80,735,1544,276,35,129,Los Angeles Dodgers
2007,83,79,801,1455,310,37,231,Milwaukee Brewers
2007,79,83,718,1460,273,36,118,Minnesota Twins
2007,94,68,968,1656,326,32,201,New York Yankees
2007,88,74,804,1543,294,27,177,New York Mets
2007,76,86,741,1430,295,16,171,Oakland Athletics
2007,89,73,892,1558,326,41,213,Philadelphia Phillies
2007,68,94,724,1463,322,31,148,Pittsburgh Pirates
2007,89,74,741,1408,322,31,171,San Diego Padres
2007,88,74,794,1629,284,22,153,Seattle Mariners
2007,71,91,683,1407,267,37,131,San Francisco Giants
2007,78,84,725,1513,279,13,141,St. Louis Cardinals
2007,66,96,782,1500,291,36,187,Tampa Bay Devil Rays
2007,75,87,816,1460,298,36,179,Texas Rangers
2007,83,79,753,1434,344,24,165,Toronto Blue Jays
2007,73,89,673,1415,309,31,123,Washington Nationals
2008,82,80,720,1355,318,47,159,Arizona Diamondbacks
2008,72,90,753,1514,316,33,130,Atlanta Braves
2008,68,93,782,1486,322,30,172,Baltimore Orioles
2008,95,67,845,1565,353,33,173,Boston Red Sox
2008,89,74,811,1458,296,13,235,Chicago White Sox
2008,97,64,855,1552,329,21,184,Chicago Cubs
2008,74,88,704,1351,269,24,187,Cincinnati Reds
2008,81,81,805,1455,339,22,171,Cleveland Indians
2008,74,88,747,1462,310,28,160,Colorado Rockies
2008,74,88,821,1529,293,41,200,Detroit Tigers
2008,84,77,770,1397,302,28,208,Florida Marlins
2008,86,75,712,1432,284,22,167,Houston Astros
2008,75,87,691,1507,303,28,120,Kansas City Royals
2008,100,62,765,1486,274,25,159,Los Angeles Angels of Anaheim
2008,84,78,700,1455,271,29,137,Los Angeles Dodgers
2008,90,72,750,1398,324,35,198,Milwaukee Brewers
2008,88,75,829,1572,298,49,111,Minnesota Twins
2008,89,73,789,1512,289,20,180,New York Yankees
2008,89,73,799,1491,274,38,172,New York Mets
